"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. (falls vorhanden),Titelei Umschlag oder Titelblatt,Digitalisat Titelei,Widmung (diplomatisch),Verlag,Verlags GND-Nr.,Ort (normiert),GND-Nr. Ort,Plattennummer,Stecherei,Stecherei GND-Nr.,Preis,Abbildung (figurativ),Druckumfang,Drucktyp,Kopftitel,Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode ,Text-Incipit (diplomatisch),Titel Umschlag und/oder Titelblatt (handschriftliche Zusätze),Kopftitel (handschriftliche Zusätze),Geschenkvermerk (handschriftlich) (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (handschriftlich) (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (zS/fremde Hand),Umfang,Papiermaß,Wasserzeichen (intern),Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Personen,Datierung ermittelt (maschinenlesbar),Datierung Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale / Zustand der Quelle (intern), Inhalt (interner Vermerk),"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.)",Datierung Erstauflage,Kommentar Datierung Erstauflage
,,R 455,Klavierkonzert Nr. 1,F-Pn,Res. F. 1233,,[Hans von Bülow 118664638],Partitur,korrigierter Druck,,,,"1tes | Concert | für Pianoforte | und | Orchester, | Henry Litolff | zugeeignet | von | F. Liszt.",https://gallica.bnf.fr/ark:/12148/bpt6k3194856,[Henry Litolff 11948756X] | zugeeignet,Carl Haslinger quondam Tobias ,2092125-1,Wien ,4066009-6,C. H. 11933,,,Fl. 4. 30 xr. C. M.,,"Titelseite, S. 3-82",Plattendruck,,"Kl, Orch (Picc, 2 Fl, 2 Ob, 2 Klar in B, 2 Fg, 2 Hr in Es, 2 Trp in Es, 2 Tpos, Bpos, Tb, Trg, Bck, Pk, Vl, Vla, Vlc, Kb)",Allegro maestoso. Tempo giusto,,,,"oben rechts von Liszt (schwarze Tinte): ""Hans von Bülow | sein F. Liszt"" (oben abgeschnitten)",,,,,,,"schwarze Tinte, Bleistift","[Hans von Bülow 118664638] (blauer Stift, Bleistift)","42 Blatt (1 Titelseite, 80 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, 318 x 251 mm, 17 Notenzeilen",,,,,,,,,,,,"Der Druck ist unten rechts stark abgegriffen und einige Seitenecken sind abgerissen, was auf die praktische Verwendung bei Konzertaufführungen hinweist. Einige der Eintragungen betreffen auch die Einrichtung der Stimmen bzw. ggf. einer Neuauflage. Im gesamten Druck sind von Bülow und Liszt mit blauem Stift und mit Bleistift zahlreiche Tempoangaben und Vortragsanweisungen eingetragen sowie Dynamik und gelegentlich Fingersätze. Auf S. 4 und auf S. 47 oben sind mit schwarzer Tinte für 2 Takte im Klavier eine leichtere Alternative mit Fingersatz notiert. Bülow schreibt mit blauem Stift auf S. 5 oben: ""diese Takte sind nicht in den Stimmen angegeben"", auf S. 8 oben: ""Diese Takte sind eingeschrieben"", auf S. 12 rechts: ""wie in den anderen Exemplaren | mit 2 Clavieren"", auf S. 43: ""Dies ist nicht in den Stimmen"", auf S. 44 rechts: ""wie in den anderen | Exemplaren | mit 2 Clavieren"".",,siehe Aufschrift Buchdeckel innen,https://gallica.bnf.fr/ark:/12148/bpt6k3194856,UR,,,,7,132
,,R 135 | S 395,L'idée fixe,A-Wgm,A 192c,VII 75361,,Partitur,Dedikationsexemplar,,,,L'IDÉE FIXE. | ANDANTE AMOROSO | POUR LE PIANO | d'après une Mélodie | de H. BERLIOZ par FR. LISZT.,,,Pietro Mechetti q[uonda]m. Carlo ,2074287-3,Wien ,4066009-6,P. M. 4164,,,,,,Plattendruck,ANDANTE AMOROSO | par | F. LISZT. ,Kl,"Poco lento. Andante amoroso, un poco mosso",,,,,,"""Schön vorzutragen | von August Göllerich""",,,,,schwarze und rote Tinte,,"4 Blatt zu 2 Bogen (1 Titelseite, 5 Seiten Notentext, 2 Leerseiten, paginiert)","Hochformat, 337 x 260 mm, 10 Notenzeilen",,"Ankauf Eleonore Ulrike von Minnigerode, 2007 (notiert auf Quelle)",,,,,,,,Papier weist viele Stockflecken auf,,"(Erst)Druck mit handschriftlicher Widmung von Liszt. Die Fingersätze mit Bleistift sind von anderer Hand (evtl. [August Göllerich 118695762]) eingetragen. Er schreibt mit schwarzer Tinte oben links: ""Schön vorzutragen | von August Göllerich"" sowie unten links: ""Bei Ritter | Biedermann | erschienen - | die letzte Ausgabe | von der Idée fixe | - an bei die [sic!] Marsch | ""Au Supplices"" von | Berlioz - | transcribirt von F.Liszt,"". Der Zusatz ""Bei Ritter"" kam wohl nachträglich hinzu, denn er ist mit roter Tinte geschrieben. Unklar, ob es sich bei der Zuschrift Liszts wirklich um eine Widmung handelt; laut Gmf handelt es sich jedoch um das Widmungsexemplar.
Am Ende Hinweis zur Anschaffung mit Bleistift: ""Ankauf Eleonore Ulrike von Minnigerode, 2007"".",Nachfragen bei Gmf: Minnigerode oder Winnigerode (beide Fassungen finden sich in den Bleistiftzusätzen),,wird angefragt,DTie,,,,,133
,,R 592b,La chanson de Mignon (Mignon's Lied),D-WRgs,GSA 60/Dep. H 12a,,,Partitur,,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,703,,,,,S. 3-10,Plattendruck, Mignon's Lied,"Mez, Kl","Très lent avec un sentiment profond | Sehr langsam, sehnsuchtsvoll",,Deutsch | Französisch,"Kennst du das Land, wo die Citronen blüh'n | Le connais tu le sol beni de Dieu? ",,Die französische Variante des Titels ist von zS (rote Tinte) oberhalb des gedruckten deutschen Titels geschrieben: La chanson de Mignon,,,,,,Bleistift,zS (rote Tinte),4 Blatt (8 Seiten Notentext),"Hochformat, ??? x ??? mm",,,,,,,,,,,,"Der zS trägt in den Druck die, wie er eingangs des Notentextes festhält, von [Gustave Lagye 1157513743] stammende französische Übersetzung des Gesangtextes ein (rote Tinte). Auf Seite 6 (T. 6-7 auf der Seite) und 9 (T. 6-7 auf der Seite) korrigiert vermutlich Liszt die Bebalkung einiger Noten (Bleistift).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210944,BV,,,,,134
,,R 592b,La chanson de Mignon (Mignon's Lied),D-WRgs,GSA 60/Dep. H 12b,,,Partitur,,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,703,,,,,S. 11-18,Plattendruck,Mignon's Lied,"A, Kl","Très lent avec un sentiment profond | Sehr langsam, sehnsuchtsvoll",,Deutsch | Französisch,"Kennst du das Land, wo die Citronen blüh'n | Le connais-tu le sol béni de Dieu? ",,Die französische Variante des Titels ist von zS (rote Tinte) oberhalb des gedruckten deutschen Titels geschrieben: La chanson de Mignon,,,,,,"rote Tinte, blauer Stift",zS (rote Tinte),4 Blatt (8 Seiten Notentext),"Hochformat, ??? x ??? mm",,,,,,,,,,,,"Der zS trägt in den Druck die französische, von [Gustave Lagye 1157513743] stammende Übersetzung des Gesangtextes ein (rote Tinte). Es finden sich minimale Korrekturen auf Seite 17 (blauer Stift, rote Tinte).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210945,BV,,,,,135
,464000211,R 241,La Rose,D-B,"Mus.ms.autogr. Liszt, F. 9",,,Partitur,korrigierter Druck,,,,"LA ROSE | Poésie de Schlegel, Musique de Schubert | arrangé | pour le Pinaoforte | et dédiée | à Madame la Comtesse d'Appony | par | F. LISZT. ",,dédiée | à Madame la Comtesse d'Appony,Fr. Hofmeister ,1073004767,Leipzig ,4035206-7,2069,,,8 Gr.,x,"Titelseite, S. 3-7",Plattendruck,LA ROSE,Kl,Moderato,,,,,,,,,,,sepia Tinte,"Dr (Rötel, Bleistift)","4 Blatt zu 2 Bogen (1 Titelseite, 5 Seiten Notentext, 2 Leerseiten, paginiert)","Hochformat, 335 x 262 mm, 12 Notenzeilen",,,,,,,,,,,,"Probedruck mit Korrekturen Liszts. Tinte trägt sehr stark auf, drückt deswegen ziemlich durch das handgeschöpfte Papier durch. Liszt streicht einige Takte, die er auf S. 4 und S. 5 mit römischen Zahlen (I und II) versieht. Darüber hinaus fordert er bei einer Mordendo-Figur im Bass ""kleine Noten"" und setzt wenige Spielanweisungen sowie Akzente hinzu. S. 6 Änderung der Passage der rechten Hand in T. 3. Größere Korrekturen auch auf S. 7, die sicher zu einer Neuanfertigung der Stichplatte geführt haben dürften. Die letzte Fioritur der rechten Hand notiert er ebenfalls neu (freihändig unter dem System). Der Drucker markiert und wiederholt Liszts Änderungen/Eintragungen, zudem setzt er die üblichen Zeichen für die Einrichtung mit Bleistift. ","Möglicherweise zeigen die beiden römischen Ziffern Korrekturblätter an, die aber nicht erhalten geblieben sind. (Ja, es fehlen diese Korrekturen, der Vergleich mit der Haslinger-Ausgabe (mus.ms.autogr. Listr, F. 9) zeigt das deutlich.",,photographiert,DTie,,,,,136
,464000212,R 241,La Rose,D-B,"Mus.ms.autogr. Liszt, F. 10",,,Partitur,korrigierter Druck,,,,DIE ROSE | Lied de Fr. Schubert. | Transcrit pour (PIANO) par | FR. LISZT. ,,,Tobias Haslinger ,16069828-5,Wien ,4066009-6,7577,,,,,"Titelseite, S. 3-10",Plattendruck,DIE ROSE,Kl,Moderato,,,,,,,,,,,sepia Tinte,Dr (Rötel),"6 Blatt zu 3 Bogen (1 Titelseite, 8 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, 266 x 170 mm, 8 Notenzeilen",,,,,,,,,,,,"Sporadisch Hinzufügungen oder Streichungen von Vorzeichen, Dynamik oder Phrasierung: Forderung nach ""kleine Noten"". Unklar, ob die Eintragungen mit Rötel auf S. 7 von Liszt oder vom Drucker sind. Mehrere Korrekturen auf S. 9 mit Notennamen, aber auch mit freihändigen Notenlinien unter dem System, zudem ""una corda"" Vorschrift.
Druck wirkt sehr ""schmutzig"", viel Druckerschwärze auf dem Papier, das sehr dünn ist, wodurch Liszts Eintragungen stark durch das Papier durchdrücken. Der kleinformatige Druck wurde doppelt gefaltet aufbewahrt.",Kleinformatiger Druck auf Basis des Hofmeister-Drucks. Von Liszt nochmals durchgesehen.,,photographiert,DTie,,,,,137
,,S 13/2,Le XII[I]me Psaume de David [Psalm 13],US-Wc,ML96 .L58,,,Partitur,korrigierter Druck,,,,,,,C. F. Kahnt ,107297469X,Leipzig,4035206-7,2660,Stich und Druck W. Benicke in Leipzig,,,,S. 3-46,Plattendruck,LE XIIme PSAUME | de David,"T, GCh (SATB), Kl",Andante maestoso,,Französisch,"Dieu sévère, ah! pourquoi",,,,12/3. 83,1883-03-12,,,rote Tinte,"zS (Bleistift), Dr (rote Tinte, roter Stift)","24 Blatt (44 Seiten Notentext, 4 Leerseite, paginiert)","Plattengröße: Hochformat, 240 x 160 mm",,"1998-12-04, Sothebys, Los 165",,,,,,,,,,,,Datierung: S. 3 unten vom Drucker/Stecher?,https://hdl.loc.gov/loc.music/musliszt.100669,,,,,4,138
,,-,Le XIIme Psaume de David,D-WRgs,GSA 60/Dep. H 14,,[W. Benicke Musikalien-Druckerei 1072959267] Leipzig,Partitur,korrigierter Druck,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2660,Stich und Druck von W. Beinicke in Leipzig,,,,S. 3-46,Plattendruck,Le XIIme Psaume | de David.,"T, GCh (SSTTBB), Kl",Andante maestoso,,Französisch,Dieu sévère ,,,,,,,,"schwarze und rote Tinte, roter und blauer Stift, Bleistift",Dr (blauer Stift),"22 Blatt zu 11 Bogen (44 Seiten Notentext, paginiert)","Hochformat, ??? x ??? mm",,,,,,,,,,,,"Überwiegend nimmt Liszt kleine Korrekturen an der Artikulation, den Ausdrucksbezeichnungen und am Gesangstext vor. Gelegentlich ergänzt er fehlende Stimmbezeichnungen. Korrekturen der Noten kommen ebenfalls gelegentlich vor. Neben diesen Korrekturen und Ergänzungen nimmt Liszt substantielle Eingriffe in die Komposition vor.
- S. 24: Liszt streicht, nachdem er bereits einige Korrekturen durchgeführt hat - unter anderem gravierende Verschiebungen in der Zuordnung von Gesangstext und Melodie (rote Tinte) -, die gesamte Seite und versieht sie am linken Rand mit dem Kommentar ""Diese Seite muss neu gestochen werden"" (roter Stift). Am oberen Rand befindet sich der Hinweis auf ein Korrekturblatt verbunden mit der Anweisung, ""nur die Clavier Begleitung bleibt"" (rote Tinte, sepia Tinte). Inwiefern diese Anweisungen angesichts der Streichung Bestand haben, lässt sich nicht definitiv klären, zumal dem Druck kein Korrekturblatt beiliegt.
- S. 25: Liszt nimmt Änderungen am Gesangstext vor (rote Tinte, sepia Tinte).
- S. 26: Im unteren System ändert Liszt den Text, anstelle des gestrichenen ""un jour bonheur"" setzt er ""un jour sanveur"". Zudem ergänzt er die Ossia-Notation um vier weitere Takte.
- S. 45: Liszt ändert die Chorstimmen im oberen und mittleren System, streicht beides durch und verweist auf das Korrekturblatt (rote Tinte, roter Stift).
- S. 46: Den Schluss des Stücks - das mittlere und das unter System - streicht Liszt und verweist stattdessen auf das Korrekturblatt. ",,Korrekturblatt nicht in der Quelle vorhanden. Vielleicht begegnet es in anderem Zusammenhang.,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:211018,BV,,,,4,139
,,-,Les Cloches du Soir,F-Pn,Ms. 169,,Charles Malherbe Conservatoire Nal de Musique Paris,Partitur,korrigierter Druck,,x,,"2 | Feuilles d'Album | à Mademoiselle GIRARD | LES CLOCHES DU SOIR | MÉLODIE | [...] | Musique de | Henri MARÉCHAL | PARIS | COLOMBIER, Editeur, 6, Rue Viienne au coin de la Galerie Vivienne. | Propriété pour tous pays. | 1mp Moucelot Paris ",https://gallica.bnf.fr/ark:/12148/btv1b10861847w/f7.item,A Mademoiselle GIRARD [keine GND zuordenbar],Colombier,,Paris,4044660-8,C. 3549,,,,,"Titelseite, S. 1-3",Plattendruck,LES CLOCHES DU SOIR | MÉLODIE,"S/T, Kl",Lento ,[Achtel] = 96,Französisch,"Quand les cloches du soir, dans leur lente volée","Auf dem oberen Rand der Titelseite mit Bleistift Hinweis ""annoté par Liszt | avril 1876"". ",,,Avril 1876,1876-04-xx,,,"sepia Tinte, blauer Stift",,"3 Blatt  (1 Titelseite, 3 Seiten Notentext, 1 Seite Text, 1 Leerseite, paginiert)",,,,,,,,,,,Tinte drückt stark durch auf dem letzten Blatt (Rückseite unbeschrieben),,"Druck mit einigen ""Annotationen"" (Korrekturen/Verbesserungen) von Liszt mit schwarzbrauner Tinte und blauem Stift. So S. 1, unterstes System T. 1-3, Hinzufügung von dis2 sowie ""?"" darüber, jeweils zwei Legatobögen und Arpeggien. S. 2 drei Änderung bei der Textdeklamation (Rhythmus), jeweils über oder neben der entsprechenden Zeile gesetzt, zudem Wiederholung des dis2 (Takt wiederholt). Sehr starke Korrekturen, Änderung auf S. 3, erneut zwei rhythmische Änderungen der Melodiestimme oben und komplette Änderung der Melodie im dritten System (Alternative unter dem Druck notiert, sieben Takte), dazu schreibt Liszt mit Tinte: ""(Prosodie usitée, mais dèfectueuse)"". Zudem streicht er die Klavierbegleitung des dritten und vierten Systems mit blauem Stift und notiert am Rand seine alternative Version (Tremoli beider Hände).",Liszt korrigierte hier eine fremde Komposition.,"Fällt wohl unter Curiosa / Paedagogica
Zum Kopftitel: Poésie de Mme DESBORDES VALMORE; Musique de HENRI MARÉCHAL",https://gallica.bnf.fr/ark:/12148/btv1b10861847w.item,DTie,,,,,140
,nicht eingetragen,R 511,Libera me,D-WRgs,GSA 60/C 30,,,Partitur,Korrekturabzug,,,,Zwölf | Kirchen-Chor-Gesänge | mit Orgelbegleitung | von | FRANZ LISZT.,,,C. F. Kahnt Nachfolger,5274010-9,Leipzig ,4035206-7,1448/11,,,60 Pf.,,"Titelseite, S. 3-9",,IX. | Libera me.,"MCh (TTBB), Org",Lento,,Lateinisch,Libera me Domine,,,,,,,,,"Dr? (Bleistift, roter Stift)","5 Blatt zu 2 Bogen und 1 Einzelblatt (1 Titelseite, 7 Seiten Notentext, paginiert)","Hochformat, 269 x 170 mm, 12 Notenzeilen",,"1970-xx-xx, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,,,"Nur kleinere Korrekturen von Vorzeichen, Hinzufügung einiger Phrasierungsbögen, minimale Notenkorrekturen, leichte Textkorrekturen (hauptsächlich Groß- und Kleinschreibung, Syntaktik)","GSA-Findbuch: Ankauf von Prof. [Günther] Kraft, Weimar 1970",Die Stücke der Sammlung wurden auch als Einzeldrucke vertrieben. Die Seitennummerierung erfolgt für jedes Stück separat.,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191247,BV,,,,,141
,1001352200,R 582b | S 292b | N32,"Lieder aus Schillers ""Wilhelm Tell""",D-WRgs,GSA 60/D 80a,,,Partitur,korrigierter Druck,x,,,Franz Liszt's | gesammelte Lieder. | In acht Heften. ,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,704 ,,,2 Mk. - Pf. ,,"Titelseite, S. 3-15",Plattendruck,,"Singst, Kl",,,,,"Gedruckter Titel ist mit roter Tinte gestrichen und von fremder Hand mit der französischen Übersetzung substituiert: ""Les Melodies | de | Franz Liszt | Paroles françaises de Gustave Lagye. | 2eme Livrais ou. Proprieté de l'Editeur. Leipzig, | Maison C. F. Kahnt.""",,,,,,,"rote und schwarze Tinte, blauer Stift, Bleistift","zS (rote Tinte), Dr (blauer und roter Stift)","11 Blatt (1 Titelseite, 13 Seiten Notentext, 3 Seiten Text, 5 Leerseiten, paginiert)","Hochformat, 350 x 216 mm, Blatt 1-3; Hochformat, 340 x 270 mm, 12-16 Notenzeilen, Blatt 4-11",,"1998-xx-xx, [Werner Greve 10013817-2]",,,,,,,,,,"Dem gedruckten deutschen Text ist mit roter Tinte der franz. Text geschrieben in Druckbuchstaben unterlegt. Liszt ergänzt mit rot-violetter und schwarzer Tinte Angaben zum Titel, zum Übersetzer und zur Textvorlage in franz. Sprache. Der Drucker vermerkt mit blauem Stift die neue Plattennummer 2846Die Quelle enthält zudem die franz. Übersetzung der Liedtexte (3 Blatt) geschrieben mit schwarzer Tinte von einem zS und korrigiert von Liszt mit rot-violetter Tinte.","Auf der letzten Seite ist am linken Rand mit blauem Stift geschrieben: ""von cfKahnt | Herrn Org. Rob Schaab"".",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:333547,UR,,,,,142
,1001352208,"R 582b,1 | S 292b/1 | N32","Lieder aus Schillers ""Wilhelm Tell"", 1 Der Fischerknabe",D-WRgs,GSA 60/D 80a,,,,korrigierter Druck,,x,1001352200,,,,,,,,,,,,,S. 3-7,Plattendruck,DER FISCHERKNABE.,,Allegretto. Ruhig bewegt,,Deutsch | Französisch,"Es lächelt der See, er ladet zum Bade | Si fraîche est l'onde",,Der französische Titel ist von Liszt mit roter Tinte über dem gedruckten deutschen Titel geschrieben: Le fils du  Pecheur.,,,,,,,,S. 3-7 (von 11 Blatt),,,,,,,,,,,,,Auf S. 4 korrigiert Liszt im 3. und 4. System den franz. Liedtext und notiert am rechten Rand des 3. Systems eine Variante der Singstimme aufgrund der geänderten Textverteilung. Auf S. 6 trägt Liszt zu Beginn der Singstimme im 1. System ein piano ein und notiert es am rechten Rand erneut. ,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:333547,UR,,,,,143
,1001352210,"R 582b,2 | S 292b/2 | N32","Lieder aus Schillers ""Wilhelm Tell"", 2 Der Hirt",D-WRgs,GSA 60/D 80a,,,,korrigierter Druck,,x,1001352200,,,,,,,,,,,,,S. 8-11,Plattendruck,DER HIRT.,,Andante pastorale,,Deutsch | Französisch,"Ihr Matten lebt wohl, lebt wohl ihr sonnigen Weiden | O pentes fleuries",,Der französische Titel ist von Liszt mit roter Tinte über dem gedruckten deutschen Titel geschrieben: La chanson du Berger.,,,,,,,,S. 8-11 (von 11 Blatt),,,,,,,,,,,,,,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:333547,UR,,,,,144
,1001352217,"R 582b,3 | S 292b/3 | N32","Lieder aus Schillers ""Wilhelm Tell"", 3 Der Alpenjäger",D-WRgs,GSA 60/D 80a,,,,korrigierter Druck,,x,1001352200,,,,,,,,,,,,,S. 12-15,Plattendruck,DER ALPEN-JÄGER.,,,,Deutsch | Französisch,"Es donnern die Höh'n,  es zittert der Steg | L'orage s'amasse, l'éclair resplendit",,Der französische Titel ist von Liszt mit roter Tinte über dem gedruckten deutschen Titel geschrieben: Le chasseur des Alpes,,,,,,,,S. 12-15 (von 11 Blatt),,,,,,,,,,,,,"Auf S. 13 notiert Liszt am rechten Rand des 2. Systems eine Variante der Singstimme aufgrund der geänderten Textverteilung. Im 3. System korrigiert er mit rot-violetter Tinte, blauem Stift und Bleistift den franz. Liedtext und notiert am rechten Rand ebenfalls eine Variante der Singstimme aufgrund der geänderten Textverteilung. ",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:333547,UR,,,,,145
,,(R 291) | S 577,Ljubila ja (Autrefoir) (Michael Wielhorsky),H-Bn,Z 44.852,,Orsz. Széchényi Könyvtár,Partitur,,,,,"Autrefois! | ROMANCE | du Comte | MICHAEL WIELHORSKY | pour Piano | par | FRANÇOIS LISZT. | BERLIN, | ADOLPHE FÜRSTNER. | Französische Str. 49a. | Pr. 15 Sgr. | 55.",,,A. Fürstner,10001763-0,Berlin ,4005728-8,55,,,,,,Lithographie (?),"""Autrefois!"" | ROMANCE | du Comte Michael Wielhorsky | pour Piano | par | François Liszt.",Kl,Vivace ed appassionato,,,,Zu Beginn des Titelblatts: Text auf Kyrillisch; es gibt zudem ein zweites Titelblatt im Anschluss.,,,,,,,Bleistift,fremde Hand (Bleistift),"5 Blatt (Einband, Schmutztitel, 2 Titelseite, 5 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, 282 x 221 mm, 8 Notenzeilen",,,,,,,,,,"gebunden in blauem Einband, 287 x 228 mm, 2 Schutzblatt
Papiere in sehr fragilem Zustand, wurden restauriert und wieder zusammengebunden, stark beschädigt und dünn
die gedruckten Notenlinien sind von einer schwungvollen, floralen Bordüre umgeben",,"Druck mit nur sehr wenigen Bleistifteintragungen von Liszt (s. Eckhardt), z.T. kaum von den Eintragungen fremder Hand, die jedoch mit deutscher Schrift schriebt, zu unterscheiden. Eckhardt macht folgende Stellen auf (die sich auch bestätigen lassen), T. 12: eine große römische ""II"", T. 17 ; eine große Fermate; T. 19 ein Marcato-Keil über dem Akkord der rechten Hand sowie T. 29 und 31: jeweils ""pp"".
Ansonsten sind keine weiteren Eintragungen Liszts auszumachen.
Oben rechts auf dem Titelblatt ist mit Bleistift ""Varga Vilma"" geschrieben (Besitzvermerk?).",,,wird bestellt,DTie,,,,,146
,,R 105a | S 242 | A60a,Magyar Dalok,D-WRgs,GSA 60/I 10,"Ms I, 10|8",Liszt-Museum Weimar,Partitur,korrigierter Druck,,x,,MAGYAR DALLOK | ZONGORÁRA | szerkezé | LISZT FERENC. | UNGARISCHE | NATIONAL-MELODIEN | für das | Piano-Forte | von | F. LISZT.  | 1tes Heft.,,Dem | hochgebornen  | HERRN GRAFEN LEO FESTETICS | freundschaftlich gewidmet ,Tobias Haslinger,16069828-5,Wien,4066009-6,8041,,,f 1,,"Titelseite, Widmung, S. 2-14",Plattendruck,1.,Kl,Lento,,,,Heftnummer und Preis handschriftlich mit Tinte hinzugefügt,,,,,,,"schwarze Tinte, Rötel",,"8 Blatt (1 Titelseite, 13 Seiten Notentext, 1 Seite Text, 1 Leerseite, paginiert)
S. 205-220 (von 270 Blatt)","Hochformat, 336 x 260 mm, 8 Notenzeilen",,,,,,,,,,,Nr. 1-6,"Über Nr. 1 Vermerk ""in Cis moll"" mit schwarzer Tinte, weitere Eintragungen mit Rötel",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192136,DTie / UR,,,,,147
,,R 105a | S 242 | A60a,Magyar Dalok,D-WRgs,GSA 60/I 10,,,Partitur,korrigierter Druck,,x,,MAGYAR DALLOK | ZONGORÁRA | szerkezé | LISZT FERENC. | UNGARISCHE | NATIONAL-MELODIEN | für das | Piano-Forte | von | F. LISZT.  | 2tes Heft.,,à son excellent ami le Comte | Casimir Esterházy | F. Liszt.,Tobias Haslinger,16069828-5,Wien,4066009-6,8042,,,f. 1 C. M. | 16 gr.,,"Titelseite, Widmung, S. 3-10",Plattendruck,7. ,Kl,"Andante cantabile, quasi Adagio",,,,Heftnummer handschriftlich mit Tinte hinzugefügt,,,,,,,"sepia Tinte, Rötel",,"6 Blatt (1 Titelseite, 8 Seiten Notentext, 1 Seite Text, 1 Leerseite, paginiert)
S. 221-232 (von 270 Blatt)","Hochformat, 335 x 256 mm, 10 Notenzeilen",,,,,,,,,,,,"Takte nummeriert, Notenkorrekturen in der Bassstimme",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192136,DTie / UR,,,,,148
,,R 105a | S 242 | A60a,Magyar Dalok,D-WRgs,GSA 60/I 10,,,Partitur,korrigierter Druck,,x,,MAGYAR DALLOK | ZONGORÁRA | szerkezé | LISZT FERENC. | UNGARISCHE | NATIONAL-MELODIEN | für das | Piano-Forte | von | F. LISZT.  | 3tes Heft.,,,Tobias Haslinger,16069828-5,Wien,4066009-6,8043,,,f 1.15 ,,"Titelseite, S. 3-18",Plattendruck,8.,Kl,Lento. Pesante e tristamente,,,,Heftnummer und Preis handschriftlich mit Tinte hinzugefügt,,,,,,,"sepia Tinte, Rötel",,"9 Blatt (1 Titelseite, 16 Seiten Notentext, 1 Leerseite, paginiert)
S. 233-250 (von 270 Blatt)","Hochformat, 338 x 258 mm, 10 Notenzeilen",,,,,,,,,,,Nr. 8-9,"Takte teils nummeriert, Notenkorrekturen (v.a. Schluss Nr. 9)",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192136,DTie / UR,,,,,149
,,R 105a | S 242 | A60a,Magyar Dalok,D-WRgs,GSA 60/I 10,,,Partitur,korrigierter Druck,,x,,MAGYAR DALLOK | ZONGORÁRA | szerkezé | LISZT FERENC. | UNGARISCHE | NATIONAL-MELODIEN | für das | Piano-Forte | von | F. LISZT.  | 4tes Heft.,,,Tobias Haslinger,16069828-5,Wien,4066009-6,8044,,,f 1.15 ,,"Titelseite, S. 3-16",Plattendruck,10.,Kl,"Adagio sostenuto, a capriccio",,,,Heftnummer und Preis handschriftlich mit Tinte hinzugefügt,,,,,,,sepia Tinte,,"8 Blatt (1 Titelseite, 14 Seiten Notentext, 1 Leerseite, paginiert)
S. 251-266 (von 270 Blatt)","Hochformat, 339 x 255 mm, 10 Notenzeilen",,,,,,,,,,,Nr. 10-11,Takte nur am Anfang von Nr. 10 nummeriert,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192136,DTie / UR,,,,,150
